[checksum],b311
[CSV Format],CS_Analyst_1
[Header],
SeqName,ALPRSEQ1.SE
SeqPath,C:\HPCHEM\1\SEQUENCE\
SeqComment,"Alprazolam Study  "
Workstation,AppLCMS1
DataPath,C:\HPCHEM\1\DATA\ANALYST
Operator,
Instrument,Instrument 1
IonMode,ESI
PolarityMSD1,Pos
MSModeMSD1,SIM
GlobalConcUnit,pg/ul
AutoConvert,Yes
LaunchAnalyst,No
LocalTargetDir,C:\PESCIE~1\PROJECTS\ALPRAZ~2\DATA
RemoteTargetDir,
WiffFileName,Alprazolam Example
[GLP],
1100 Binary Pump: G1312A  
1100 Autosampler: G1313A  
1100 Diode Array Detector: G1315A  
1100 Column Thermostat: G1316A  
HP Mass Spec Detector: G1946A  
ChemStation Version: Rev. A.08.04 [932] Copyright © Agilent Technologies
Sequence Version: 1.1.0.129
[Compounds],
Cmpd1,alprazolam
Cmpd2,alprazolam-d5
[Table],
Run,Location,PlateType,PlateNum,RackType,RackNum,SampleName,SampleInfo,SampleID,AcqMethod,SampleType,CalibLevel,CalibAction,Dilution,DataFileName,InjVol,Conc1,Conc2
 1-2,1,,,,,Double Blank,"double blank",,ALP1_ESI,Double Blank,,,1,001-0102.D,10,,25
 2-1,2,,,,,Blank,"blank (w/ ISTD)",,ALP1_ESI,Blank,,,1,002-0201.D,10,,25
 2-2,2,,,,,Blank,"blank (w/ ISTD)",,ALP1_ESI,Blank,,,1,002-0202.D,10,,25
 3-1,3,,,,,0.5 pg/uL,"5pg",,ALP1_ESI,Standard,1,Average,1,003-0301.D,10,0.5,25
 3-2,3,,,,,0.5 pg/uL,"5pg",,ALP1_ESI,Standard,1,Average,1,003-0302.D,10,0.5,25
 3-3,3,,,,,0.5 pg/uL,"5pg",,ALP1_ESI,Standard,1,Average,1,003-0303.D,10,0.5,25
 4,3,,,,,0.5 pg/uL,"5pg",,ALP1_ESI,Unknown,,,1,003-0401.D,10,,25
 5-1,4,,,,,1.0 pg/uL,"10pg",,ALP1_ESI,Standard,2,Average,1,004-0501.D,10,1.0,25
 5-2,4,,,,,1.0 pg/uL,"10pg",,ALP1_ESI,Standard,2,Average,1,004-0502.D,10,1.0,25
 5-3,4,,,,,1.0 pg/uL,"10pg",,ALP1_ESI,Standard,2,Average,1,004-0503.D,10,1.0,25
 6,4,,,,,1.0 pg/uL,"10pg",,ALP1_ESI,Unknown,,,1,004-0601.D,10,,25
 7-1,5,,,,,2.5 pg/uL,"25pg",,ALP1_ESI,Standard,3,Average,1,005-0701.D,10,2.5,25
 7-2,5,,,,,2.5 pg/uL,"25pg",,ALP1_ESI,Standard,3,Average,1,005-0702.D,10,2.5,25
 7-3,5,,,,,2.5 pg/uL,"25pg",,ALP1_ESI,Standard,3,Average,1,005-0703.D,10,2.5,25
 8,5,,,,,2.5 pg/uL,"25pg",,ALP1_ESI,Unknown,,,1,005-0801.D,10,,25
 9-1,6,,,,,5.0 pg/uL,"50pg",,ALP1_ESI,Standard,4,Average,1,006-0901.D,10,5.0,25
 9-2,6,,,,,5.0 pg/uL,"50pg",,ALP1_ESI,Standard,4,Average,1,006-0902.D,10,5.0,25
 9-3,6,,,,,5.0 pg/uL,"50pg",,ALP1_ESI,Standard,4,Average,1,006-0903.D,10,5.0,25
